City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Kloulklubed,PW,2021-05-24 20:06:20,7.0419,134.2556,77.5,78,100,5.53
281,Los Llanos De Aridane,ES,2021-05-24 20:06:20,28.6585,-17.9182,64.15,74,75,17.13
282,Canala,NC,2021-05-24 20:06:21,-21.5333,165.95,59.49,71,5,8.14
283,Dawlatabad,AF,2021-05-24 20:06:21,36.4141,64.9053,78.1,12,13,3.42
284,Bassar,TG,2021-05-24 20:06:21,9.25,0.7833,74.01,86,74,4.23
285,El Fuerte,MX,2021-05-24 20:06:22,26.4189,-108.6194,97.83,14,65,8.1
286,Volot,RU,2021-05-24 20:06:22,57.9278,30.7025,46.2,96,7,5.7
287,Langsa,ID,2021-05-24 20:06:22,4.4683,97.9683,75.25,96,67,2.13
288,Ambilobe,MG,2021-05-24 20:06:23,-13.2,49.05,72.25,82,99,2.46
289,Mecca,SA,2021-05-24 20:06:23,21.4267,39.8261,88.11,37,3,0.78
290,Lorengau,PG,2021-05-24 20:06:23,-2.0226,147.2712,81.34,81,100,13.31
291,Buraydah,SA,2021-05-24 20:06:24,26.326,43.975,87.12,22,2,8.59
292,Nouadhibou,MR,2021-05-24 20:06:24,20.931,-17.0347,66.06,81,0,27.0
293,North Myrtle Beach,US,2021-05-24 20:02:52,33.816,-78.68,96.35,70,75,1.99
