City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
105,Lompoc,US,2021-05-28 17:15:50,34.6391,-120.4579,overcast clouds,73.11,97,90,9.22
106,Chumikan,RU,2021-05-28 17:15:50,54.7183,135.315,overcast clouds,35.49,92,100,0.81
107,Preeceville,CA,2021-05-28 17:15:50,51.95,-102.6677,overcast clouds,54.12,59,100,23.04
108,Bubaque,GW,2021-05-28 17:15:51,11.2833,-15.8333,few clouds,79.32,75,19,12.95
109,Bambous Virieux,MU,2021-05-28 17:15:51,-20.3428,57.7575,scattered clouds,73.22,88,40,8.75
110,Bara,NG,2021-05-28 17:15:51,10.3744,10.7288,scattered clouds,101.98,22,48,10.38
111,Ziro,IN,2021-05-28 17:15:52,27.6333,93.8333,scattered clouds,57.51,96,39,1.25
112,Chilliwack,CA,2021-05-28 17:15:08,49.1747,-121.9443,overcast clouds,57.24,90,100,4.25
113,Haines Junction,CA,2021-05-28 17:15:52,60.7522,-137.5108,overcast clouds,49.95,46,100,4.61
114,Malakal,SS,2021-05-28 17:15:52,9.5334,31.6605,broken clouds,91.67,34,67,8.14
115,Coahuayana,MX,2021-05-28 17:15:53,18.7333,-103.6833,scattered clouds,94.48,33,29,5.97
116,Nikolskoye,RU,2021-05-28 17:15:53,59.7035,30.7861,broken clouds,57.09,69,64,8.03
117,Sabang,ID,2021-05-28 17:15:53,5.8933,95.3214,light rain,81.86,79,99,22.59
118,Bulgan,MN,2021-05-28 17:15:54,48.8125,103.5347,overcast clouds,51.71,78,94,2.93
119,Japura,ID,2021-05-28 17:15:54,-0.3167,102.35,clear sky,73.87,97,9,2.08
120,Padang,ID,2021-05-28 17:15:14,-0.9492,100.3543,overcast clouds,77.54,89,85,2.24
121,Berdavan,AM,2021-05-28 17:15:54,41.205,44.9997,light rain,67.05,89,96,1.36
122,Garachine,PA,2021-05-28 17:15:55,8.0647,-78.3628,overcast clouds,81.39,79,100,2.75
123,Sibiti,CG,2021-05-28 17:15:55,-3.6819,13.3499,broken clouds,76.35,75,77,2.35
124,Yumen,CN,2021-05-28 17:15:55,40.2833,97.2,clear sky,71.98,18,0,13.89
125,Inhambane,MZ,2021-05-28 17:15:56,-23.865,35.3833,few clouds,69.78,83,20,8.05
126,Clyde River,CA,2021-05-28 17:15:56,70.4692,-68.5914,few clouds,32.23,86,20,4.61
127,Ahipara,NZ,2021-05-28 17:15:57,-35.1667,173.1667,broken clouds,57.49,91,81,18.75
128,Puerto Ayora,EC,2021-05-28 17:15:57,-0.7393,-90.3518,overcast clouds,80.56,85,85,5.99
129,Mayor Pablo Lagerenza,PY,2021-05-28 17:15:57,-19.9309,-60.7718,overcast clouds,92.28,35,100,20.85
130,Tucuman,AR,2021-05-28 17:14:24,-26.8241,-65.2226,clear sky,59.0,100,0,3.36
131,Zwedru,LR,2021-05-28 17:15:58,6.0667,-8.1281,overcast clouds,83.44,71,100,5.1
132,Constantine,DZ,2021-05-28 17:14:08,36.365,6.6147,overcast clouds,76.95,55,98,8.39
133,Villa Bruzual,VE,2021-05-28 17:15:58,9.3328,-69.1208,overcast clouds,75.34,91,100,0.54
134,San Vicente,AR,2021-05-28 17:15:59,-26.6167,-54.1333,light rain,78.96,53,51,8.95
135,Nobres,BR,2021-05-28 17:15:59,-14.7203,-56.3275,overcast clouds,93.76,28,100,10.38
