City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,San Jose,US,73.26,scattered clouds,37.3394,-121.895,The Westin San Jose
380,Gondar,ET,73.11,broken clouds,12.6,37.4667,L Shape Hotel
382,Mayumba,GA,78.35,light rain,-3.432,10.6554,LIKWALE LODGE
383,Charcas,MX,77.43,few clouds,23.1333,-101.1167,Hotel El Malacate
384,Semme,FR,72.01,broken clouds,46.1963,1.5007,Inter-Hotel Alexia
386,Ambilobe,MG,73.04,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
387,Carutapera,BR,86.7,clear sky,-1.195,-46.02,Lidera
389,Vieste,IT,73.9,clear sky,41.8825,16.175,Hotel Falcone
391,Vila Do Maio,CV,79.59,few clouds,15.1333,-23.2167,Hotel Marilu
392,Aguimes,ES,70.43,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
393,Nabire,ID,76.32,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
398,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
399,Nichinan,JP,70.75,overcast clouds,31.6,131.3667,Guest House Aki
400,Pacifica,US,72.68,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
402,Pimenta Bueno,BR,89.28,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
406,Hualmay,PE,70.86,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
407,Sechura,PE,76.21,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
408,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
409,Ranong,TH,79.47,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
410,Bhum,IN,85.84,overcast clouds,18.4667,75.6667,धनंजय होम
412,Nusaybin,TR,86.54,clear sky,37.0778,41.2178,Aydinlar Hotel
417,Ciudad Bolivar,VE,89.87,overcast clouds,8.1222,-63.5497,Hotel Edi
419,Yashkul,RU,73.27,broken clouds,46.1711,45.3435,Bon Voyazh
420,Rosario,AR,72.57,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
421,Cockburn Town,TC,79.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
423,Banda Aceh,ID,79.27,overcast clouds,5.5577,95.3222,Sulthan Hotel International
427,Naze,JP,71.37,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
429,Sao Gabriel Da Cachoeira,BR,87.6,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
436,Namibe,AO,74.68,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
437,Businga,CD,75.83,light rain,3.3333,20.8833,
439,Ibb,YE,71.62,broken clouds,13.9667,44.1833,Hotel Amenities
443,Gushikawa,JP,76.62,broken clouds,26.3544,127.8686,Kirari Guest House
445,Lazaro Cardenas,MX,87.46,broken clouds,17.9583,-102.2,Hotel Quinta Antigua
448,Brownsville,US,89.71,broken clouds,25.9018,-97.4975,University Inn & Suites
449,Itatiaia,BR,82.58,broken clouds,-22.4961,-44.5633,La Ponsa
451,Tukrah,LY,76.69,few clouds,32.5341,20.5791,Lokta restaurant
452,Axim,GH,84.43,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
455,Finschhafen,PG,78.1,overcast clouds,-6.6024,147.8681,Cossam Guest House
457,Labuhan,ID,79.21,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
